child,parent,child_descriptor,parent_descriptor
R-HSA-174430,R-HSA-1640170,Telomere C-strand synthesis initiation,Cell Cycle
R-HSA-174437,R-HSA-1640170,Removal of the Flap Intermediate from the C-strand,Cell Cycle
R-HSA-174490,R-HSA-1643685,Membrane binding and targetting of GAG proteins,Disease
R-HSA-174495,R-HSA-1643685,"Synthesis And Processing Of GAG, GAGPOL Polyproteins",Disease
R-HSA-174577,R-HSA-168256,Activation of C3 and C5,Immune System
R-HSA-175474,R-HSA-1643685,Assembly Of The HIV Virion,Disease
R-HSA-175567,R-HSA-1643685,Integration of viral DNA into host genomic DNA,Disease
R-HSA-176034,R-HSA-1643685,Interactions of Tat with host cellular proteins,Disease
R-HSA-176187,R-HSA-1640170,Activation of ATR in response to replication stress,Cell Cycle
R-HSA-176407,R-HSA-1640170,Conversion from APC/C:Cdc20 to APC/C:Cdh1 in late anaphase,Cell Cycle
R-HSA-176408,R-HSA-1640170,Regulation of APC/C activators between G1/S and early anaphase,Cell Cycle
R-HSA-176409,R-HSA-1640170,APC/C:Cdc20 mediated degradation of mitotic proteins,Cell Cycle
R-HSA-176412,R-HSA-1640170,Phosphorylation of the APC/C,Cell Cycle
R-HSA-176417,R-HSA-1640170,Phosphorylation of Emi1,Cell Cycle
R-HSA-176974,R-HSA-69306,Unwinding of DNA,DNA Replication
R-HSA-176974,R-HSA-1640170,Unwinding of DNA,Cell Cycle
R-HSA-177128,R-HSA-1430728,Conjugation of salicylate with glycine,Metabolism
R-HSA-177135,R-HSA-1430728,Conjugation of benzoate with glycine,Metabolism
R-HSA-177162,R-HSA-1430728,Conjugation of phenylacetate with glutamine,Metabolism
R-HSA-177504,R-HSA-162582,Retrograde neurotrophin signalling,Signal Transduction
R-HSA-177539,R-HSA-1643685,Autointegration results in viral DNA circles,Disease
R-HSA-177929,R-HSA-162582,Signaling by EGFR,Signal Transduction
R-HSA-179409,R-HSA-1640170,APC-Cdc20 mediated degradation of Nek2A,Cell Cycle
R-HSA-179812,R-HSA-162582,GRB2 events in EGFR signaling,Signal Transduction
R-HSA-1799339,R-HSA-392499,SRP-dependent cotranslational protein targeting to membrane,Metabolism of proteins
R-HSA-180024,R-HSA-162582,DARPP-32 events,Signal Transduction
R-HSA-180292,R-HSA-162582,GAB1 signalosome,Signal Transduction
R-HSA-180336,R-HSA-162582,SHC1 events in EGFR signaling,Signal Transduction
R-HSA-180534,R-HSA-1643685,Vpu mediated degradation of CD4,Disease
R-HSA-180585,R-HSA-1643685,Vif-mediated degradation of APOBEC3G,Disease
R-HSA-180689,R-HSA-1643685,APOBEC3G mediated resistance to HIV-1 infection,Disease
R-HSA-180746,R-HSA-1643685,Nuclear import of Rev protein,Disease
R-HSA-180897,R-HSA-1643685,Vpr-mediated induction of apoptosis by mitochondrial outer membrane permeabilization,Disease
R-HSA-180910,R-HSA-1643685,Vpr-mediated nuclear import of PICs,Disease
R-HSA-1810476,R-HSA-168256,RIP-mediated NFkB activation via ZBP1,Immune System
R-HSA-181429,R-HSA-112316,Serotonin Neurotransmitter Release Cycle,Neuronal System
R-HSA-181430,R-HSA-112316,Norepinephrine Neurotransmitter Release Cycle,Neuronal System
R-HSA-182218,R-HSA-1643685,Nef Mediated CD8 Down-regulation,Disease
R-HSA-182971,R-HSA-162582,EGFR downregulation,Signal Transduction
R-HSA-1834941,R-HSA-168256,STING mediated induction of host immune responses,Immune System
R-HSA-1834949,R-HSA-168256,Cytosolic sensors of pathogen-associated DNA ,Immune System
R-HSA-1839117,R-HSA-1643685,Signaling by cytosolic FGFR1 fusion mutants,Disease
R-HSA-1839120,R-HSA-1643685,Signaling by FGFR1 amplification mutants,Disease
R-HSA-1839122,R-HSA-1643685,Signaling by activated point mutants of FGFR1,Disease
R-HSA-1839128,R-HSA-1643685,FGFR4 mutant receptor activation,Disease
R-HSA-1839130,R-HSA-1643685,Signaling by activated point mutants of FGFR3,Disease
R-HSA-1855167,R-HSA-1430728,Synthesis of pyrophosphates in the cytosol,Metabolism
R-HSA-1855183,R-HSA-1430728,"Synthesis of IP2, IP, and Ins in the cytosol",Metabolism
R-HSA-1855191,R-HSA-1430728,Synthesis of IPs in the nucleus,Metabolism
R-HSA-1855204,R-HSA-1430728,Synthesis of IP3 and IP4 in the cytosol,Metabolism
R-HSA-1855231,R-HSA-1430728,Synthesis of IPs in the ER lumen,Metabolism
R-HSA-186763,R-HSA-162582,Downstream signal transduction,Signal Transduction
R-HSA-186797,R-HSA-162582,Signaling by PDGF,Signal Transduction
R-HSA-187024,R-HSA-162582,NGF-independant TRKA activation,Signal Transduction
R-HSA-187042,R-HSA-162582,TRKA activation by NGF,Signal Transduction
R-HSA-187577,R-HSA-1640170,SCF(Skp2)-mediated degradation of p27/p21,Cell Cycle
R-HSA-187706,R-HSA-162582,Signalling to p38 via RIT and RIN,Signal Transduction
R-HSA-189085,R-HSA-8963743,Digestion of dietary carbohydrate,Digestion and absorption
R-HSA-189200,R-HSA-382551,Cellular hexose transport,Transport of small molecules
R-HSA-189451,R-HSA-1430728,Heme biosynthesis,Metabolism
R-HSA-189483,R-HSA-1430728,Heme degradation,Metabolism
R-HSA-190322,R-HSA-162582,FGFR4 ligand binding and activation,Signal Transduction
R-HSA-190370,R-HSA-162582,FGFR1b ligand binding and activation,Signal Transduction
R-HSA-190371,R-HSA-162582,FGFR3b ligand binding and activation,Signal Transduction
R-HSA-190372,R-HSA-162582,FGFR3c ligand binding and activation,Signal Transduction
R-HSA-190373,R-HSA-162582,FGFR1c ligand binding and activation,Signal Transduction
R-HSA-190374,R-HSA-162582,FGFR1c and Klotho ligand binding and activation,Signal Transduction
R-HSA-190375,R-HSA-162582,FGFR2c ligand binding and activation,Signal Transduction
R-HSA-190377,R-HSA-162582,FGFR2b ligand binding and activation,Signal Transduction
R-HSA-190704,R-HSA-5653656,Oligomerization of connexins into connexons,Vesicle-mediated transport
R-HSA-190827,R-HSA-5653656,Transport of connexins along the secretory pathway,Vesicle-mediated transport
R-HSA-190840,R-HSA-5653656,Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane,Vesicle-mediated transport
R-HSA-190861,R-HSA-5653656,Gap junction assembly,Vesicle-mediated transport
R-HSA-190872,R-HSA-5653656,Transport of connexons to the plasma membrane,Vesicle-mediated transport
R-HSA-190873,R-HSA-5653656,Gap junction degradation,Vesicle-mediated transport
R-HSA-1912399,R-HSA-162582,Pre-NOTCH Processing in the Endoplasmic Reticulum,Signal Transduction
R-HSA-1912408,R-HSA-162582,Pre-NOTCH Transcription and Translation,Signal Transduction
R-HSA-1912420,R-HSA-162582,Pre-NOTCH Processing in Golgi,Signal Transduction
R-HSA-191273,R-HSA-1430728,Cholesterol biosynthesis,Metabolism
R-HSA-191650,R-HSA-5653656,Regulation of gap junction activity,Vesicle-mediated transport
R-HSA-191859,R-HSA-8953854,snRNP Assembly,Metabolism of RNA
R-HSA-192105,R-HSA-1430728,Synthesis of bile acids and bile salts,Metabolism
R-HSA-192456,R-HSA-8963743,Digestion of dietary lipid,Digestion and absorption
R-HSA-192814,R-HSA-1643685,vRNA Synthesis,Disease
R-HSA-192823,R-HSA-1643685,Viral mRNA Translation,Disease
R-HSA-192869,R-HSA-1643685,cRNA Synthesis,Disease
R-HSA-192905,R-HSA-1643685,vRNP Assembly,Disease
R-HSA-193048,R-HSA-1430728,Androgen biosynthesis,Metabolism
R-HSA-193144,R-HSA-1430728,Estrogen biosynthesis,Metabolism
R-HSA-193368,R-HSA-1430728,Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol,Metabolism
R-HSA-193634,R-HSA-162582,Axonal growth inhibition (RHOA activation),Signal Transduction
R-HSA-193648,R-HSA-162582,NRAGE signals death through JNK,Signal Transduction
R-HSA-193670,R-HSA-162582,p75NTR negatively regulates cell cycle via SC1,Signal Transduction
R-HSA-193681,R-HSA-162582,Ceramide signalling,Signal Transduction
R-HSA-193692,R-HSA-162582,Regulated proteolysis of p75NTR,Signal Transduction
R-HSA-193775,R-HSA-1430728,Synthesis of bile acids and bile salts via 24-hydroxycholesterol,Metabolism
R-HSA-193807,R-HSA-1430728,Synthesis of bile acids and bile salts via 27-hydroxycholesterol,Metabolism
R-HSA-193993,R-HSA-1430728,Mineralocorticoid biosynthesis,Metabolism
R-HSA-194002,R-HSA-1430728,Glucocorticoid biosynthesis,Metabolism
R-HSA-194138,R-HSA-162582,Signaling by VEGF,Signal Transduction
R-HSA-194306,R-HSA-162582,Neurophilin interactions with VEGF and VEGFR,Signal Transduction
R-HSA-194313,R-HSA-162582,VEGF ligand-receptor interactions,Signal Transduction
R-HSA-194840,R-HSA-162582,Rho GTPase cycle,Signal Transduction
R-HSA-195253,R-HSA-162582,Degradation of beta-catenin by the destruction complex,Signal Transduction
R-HSA-195399,R-HSA-162582,VEGF binds to VEGFR leading to receptor dimerization,Signal Transduction
R-HSA-196025,R-HSA-5653656,Formation of annular gap junctions,Vesicle-mediated transport
R-HSA-196108,R-HSA-1430728,Pregnenolone biosynthesis,Metabolism
R-HSA-196299,R-HSA-162582,Beta-catenin phosphorylation cascade,Signal Transduction
R-HSA-1963640,R-HSA-162582,GRB2 events in ERBB2 signaling,Signal Transduction
R-HSA-1963642,R-HSA-162582,PI3K events in ERBB2 signaling,Signal Transduction
R-HSA-196741,R-HSA-1430728,"Cobalamin (Cbl, vitamin B12) transport and metabolism",Metabolism
R-HSA-196757,R-HSA-1430728,Metabolism of folate and pterines,Metabolism
R-HSA-196780,R-HSA-1430728,Biotin transport and metabolism,Metabolism
R-HSA-196783,R-HSA-1430728,Coenzyme A biosynthesis,Metabolism
R-HSA-196791,R-HSA-1430728,Vitamin D (calciferol) metabolism,Metabolism
R-HSA-196807,R-HSA-1430728,Nicotinate metabolism,Metabolism
R-HSA-196819,R-HSA-1430728,Vitamin B1 (thiamin) metabolism,Metabolism
R-HSA-196836,R-HSA-1430728,Vitamin C (ascorbate) metabolism,Metabolism
R-HSA-196843,R-HSA-1430728,Vitamin B2 (riboflavin) metabolism,Metabolism
R-HSA-1971475,R-HSA-1430728,A tetrasaccharide linker sequence is required for GAG synthesis,Metabolism
R-HSA-197264,R-HSA-1430728,Nicotinamide salvaging,Metabolism
R-HSA-198203,R-HSA-162582,PI3K/AKT activation,Signal Transduction
R-HSA-198323,R-HSA-162582,AKT phosphorylates targets in the cytosol,Signal Transduction
R-HSA-198693,R-HSA-162582,AKT phosphorylates targets in the nucleus,Signal Transduction
R-HSA-198745,R-HSA-162582,Signalling to STAT3,Signal Transduction
R-HSA-198753,R-HSA-162582,ERK/MAPK targets,Signal Transduction
R-HSA-198753,R-HSA-168256,ERK/MAPK targets,Immune System
R-HSA-198765,R-HSA-162582,Signalling to ERK5,Signal Transduction
R-HSA-198933,R-HSA-168256,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,Immune System
R-HSA-1989781,R-HSA-1430728,PPARA activates gene expression,Metabolism
R-HSA-199220,R-HSA-1430728,Vitamin B5 (pantothenate) metabolism,Metabolism
R-HSA-199418,R-HSA-162582,Negative regulation of the PI3K/AKT network,Signal Transduction
R-HSA-199920,R-HSA-162582,CREB phosphorylation,Signal Transduction
R-HSA-199920,R-HSA-168256,CREB phosphorylation,Immune System
R-HSA-199992,R-HSA-5653656,trans-Golgi Network Vesicle Budding,Vesicle-mediated transport
R-HSA-200425,R-HSA-1430728,Carnitine metabolism,Metabolism
R-HSA-201451,R-HSA-162582,Signaling by BMP,Signal Transduction
R-HSA-201681,R-HSA-162582,TCF dependent signaling in response to WNT,Signal Transduction
R-HSA-201688,R-HSA-162582,WNT mediated activation of DVL,Signal Transduction
R-HSA-201722,R-HSA-162582,Formation of the beta-catenin:TCF transactivating complex,Signal Transduction
R-HSA-202040,R-HSA-162582,G-protein activation,Signal Transduction
R-HSA-2022090,R-HSA-1474244,Assembly of collagen fibrils and other multimeric structures,Extracellular matrix organization
R-HSA-2022377,R-HSA-392499,Metabolism of Angiotensinogen to Angiotensins,Metabolism of proteins
R-HSA-2022854,R-HSA-1430728,Keratan sulfate biosynthesis,Metabolism
R-HSA-2022857,R-HSA-1430728,Keratan sulfate degradation,Metabolism
R-HSA-2022870,R-HSA-1430728,Chondroitin sulfate biosynthesis,Metabolism
R-HSA-2022923,R-HSA-1430728,Dermatan sulfate biosynthesis,Metabolism
R-HSA-2022928,R-HSA-1430728,HS-GAG biosynthesis,Metabolism
R-HSA-2023837,R-HSA-1643685,Signaling by FGFR2 amplification mutants,Disease
R-HSA-2024096,R-HSA-1430728,HS-GAG degradation,Metabolism
R-HSA-2024101,R-HSA-1430728,CS/DS degradation,Metabolism
R-HSA-202424,R-HSA-168256,Downstream TCR signaling,Immune System
R-HSA-202427,R-HSA-168256,Phosphorylation of CD3 and TCR zeta chains,Immune System
R-HSA-202430,R-HSA-168256,Translocation of ZAP-70 to Immunological synapse,Immune System
R-HSA-202433,R-HSA-168256,Generation of second messenger molecules,Immune System
R-HSA-2025928,R-HSA-168256,Calcineurin activates NFAT,Immune System
R-HSA-202670,R-HSA-162582,ERKs are inactivated,Signal Transduction
R-HSA-202670,R-HSA-168256,ERKs are inactivated,Immune System
R-HSA-202733,R-HSA-109582,Cell surface interactions at the vascular wall,Hemostasis
R-HSA-2028269,R-HSA-162582,Signaling by Hippo,Signal Transduction
R-HSA-2029481,R-HSA-168256,FCGR activation,Immune System
R-HSA-2029482,R-HSA-168256,Regulation of actin dynamics for phagocytic cup formation,Immune System
R-HSA-2029485,R-HSA-168256,Role of phospholipids in phagocytosis,Immune System
R-HSA-2032785,R-HSA-74160,YAP1- and WWTR1 (TAZ)-stimulated gene expression,Gene expression (Transcription)
R-HSA-2033514,R-HSA-1643685,FGFR3 mutant receptor activation,Disease
R-HSA-2033515,R-HSA-1643685,t(4;14) translocations of FGFR3,Disease
R-HSA-2033519,R-HSA-1643685,Activated point mutants of FGFR2,Disease
R-HSA-203615,R-HSA-1430728,eNOS activation,Metabolism
R-HSA-203641,R-HSA-1430728,NOSTRIN mediated eNOS trafficking,Metabolism
R-HSA-203754,R-HSA-1430728,NOSIP mediated eNOS trafficking,Metabolism
R-HSA-203927,R-HSA-74160,MicroRNA (miRNA) biogenesis,Gene expression (Transcription)
R-HSA-204005,R-HSA-5653656,COPII-mediated vesicle transport,Vesicle-mediated transport
R-HSA-204005,R-HSA-392499,COPII-mediated vesicle transport,Metabolism of proteins
R-HSA-204174,R-HSA-1430728,Regulation of pyruvate dehydrogenase (PDH) complex,Metabolism
R-HSA-2046105,R-HSA-1430728,Linoleic acid (LA) metabolism,Metabolism
R-HSA-2046106,R-HSA-1430728,alpha-linolenic acid (ALA) metabolism,Metabolism
R-HSA-204626,R-HSA-392499,Hypusine synthesis from eIF5A-lysine,Metabolism of proteins
R-HSA-205017,R-HSA-162582,NFG and proNGF binds to p75NTR,Signal Transduction
R-HSA-205025,R-HSA-162582,NADE modulates death signalling,Signal Transduction
R-HSA-205043,R-HSA-162582,NRIF signals cell death from the nucleus,Signal Transduction
R-HSA-209543,R-HSA-162582,p75NTR recruits signalling complexes,Signal Transduction
R-HSA-209560,R-HSA-162582,NF-kB is activated and signals survival,Signal Transduction
R-HSA-209563,R-HSA-162582,Axonal growth stimulation,Signal Transduction
R-HSA-209822,R-HSA-392499,Glycoprotein hormones,Metabolism of proteins
R-HSA-209905,R-HSA-1430728,Catecholamine biosynthesis,Metabolism
R-HSA-209931,R-HSA-1430728,Serotonin and melatonin biosynthesis,Metabolism
R-HSA-209952,R-HSA-392499,Peptide hormone biosynthesis,Metabolism of proteins
R-HSA-209968,R-HSA-1430728,Thyroxine biosynthesis,Metabolism
R-HSA-210455,R-HSA-112316,Astrocytic Glutamate-Glutamine Uptake And Metabolism,Neuronal System
R-HSA-210500,R-HSA-112316,Glutamate Neurotransmitter Release Cycle,Neuronal System
R-HSA-210744,R-HSA-1266738,Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells,Developmental Biology
R-HSA-210745,R-HSA-1266738,Regulation of gene expression in beta cells,Developmental Biology
R-HSA-210746,R-HSA-1266738,Regulation of gene expression in endocrine-committed (NEUROG3+) progenitor cells,Developmental Biology
R-HSA-210747,R-HSA-1266738,Regulation of gene expression in early pancreatic precursor cells,Developmental Biology
R-HSA-210990,R-HSA-109582,PECAM1 interactions,Hemostasis
R-HSA-210991,R-HSA-109582,Basigin interactions,Hemostasis
R-HSA-210993,R-HSA-109582,Tie2 Signaling,Hemostasis
R-HSA-211163,R-HSA-1266738,AKT-mediated inactivation of FOXO1A,Developmental Biology
R-HSA-211728,R-HSA-5357801,Regulation of PAK-2p34 activity by PS-GAP/RHG10,Programmed Cell Death
R-HSA-211733,R-HSA-5357801,Regulation of activated PAK-2p34 by proteasome mediated degradation,Programmed Cell Death
R-HSA-211736,R-HSA-5357801,Stimulation of the cell death response by PAK-2p34,Programmed Cell Death
R-HSA-211897,R-HSA-1430728,Cytochrome P450 - arranged by substrate type,Metabolism
R-HSA-211916,R-HSA-1430728,Vitamins,Metabolism
R-HSA-211935,R-HSA-1430728,Fatty acids,Metabolism
R-HSA-211945,R-HSA-1430728,Phase I - Functionalization of compounds,Metabolism
R-HSA-211957,R-HSA-1430728,Aromatic amines can be N-hydroxylated or N-dealkylated by CYP1A2,Metabolism
R-HSA-211958,R-HSA-1430728,Miscellaneous substrates,Metabolism
R-HSA-211976,R-HSA-1430728,Endogenous sterols,Metabolism
R-HSA-211979,R-HSA-1430728,Eicosanoids,Metabolism
R-HSA-211981,R-HSA-1430728,Xenobiotics,Metabolism
R-HSA-211994,R-HSA-1430728,Sterols are 12-hydroxylated by CYP8B1,Metabolism
R-HSA-211999,R-HSA-1430728,CYP2E1 reactions,Metabolism
R-HSA-2122947,R-HSA-162582,NOTCH1 Intracellular Domain Regulates Transcription,Signal Transduction
R-HSA-2122948,R-HSA-162582,Activated NOTCH1 Transmits Signal to the Nucleus,Signal Transduction
R-HSA-212300,R-HSA-74160,PRC2 methylates histones and DNA,Gene expression (Transcription)
R-HSA-212436,R-HSA-74160,Generic Transcription Pathway,Gene expression (Transcription)
R-HSA-212676,R-HSA-112316,Dopamine Neurotransmitter Release Cycle,Neuronal System
R-HSA-212718,R-HSA-162582,EGFR interacts with phospholipase C-gamma,Signal Transduction
R-HSA-2129379,R-HSA-1474244,Molecules associated with elastic fibres,Extracellular matrix organization
R-HSA-2132295,R-HSA-168256,MHC class II antigen presentation,Immune System
R-HSA-2142670,R-HSA-1430728,Synthesis of epoxy (EET) and dihydroxyeicosatrienoic acids (DHET),Metabolism
R-HSA-2142688,R-HSA-1430728,Synthesis of 5-eicosatetraenoic acids,Metabolism
R-HSA-2142691,R-HSA-1430728,Synthesis of Leukotrienes (LT) and Eoxins (EX),Metabolism
R-HSA-2142696,R-HSA-1430728,Synthesis of Hepoxilins (HX) and Trioxilins (TrX),Metabolism
R-HSA-2142700,R-HSA-1430728,Synthesis of Lipoxins (LX),Metabolism
R-HSA-2142712,R-HSA-1430728,Synthesis of 12-eicosatetraenoic acid derivatives,Metabolism
R-HSA-2142753,R-HSA-1430728,Arachidonic acid metabolism,Metabolism
R-HSA-2142770,R-HSA-1430728,Synthesis of 15-eicosatetraenoic acid derivatives,Metabolism
R-HSA-2142789,R-HSA-1430728,Ubiquinol biosynthesis,Metabolism
R-HSA-2142816,R-HSA-1430728,Synthesis of (16-20)-hydroxyeicosatetraenoic acids (HETE),Metabolism
R-HSA-2142850,R-HSA-1430728,Hyaluronan biosynthesis and export,Metabolism
R-HSA-2151201,R-HSA-1852241,Transcriptional activation of mitochondrial biogenesis,Organelle biogenesis and maintenance
R-HSA-2151209,R-HSA-1852241,Activation of PPARGC1A (PGC-1alpha) by phosphorylation,Organelle biogenesis and maintenance
R-HSA-2160456,R-HSA-1643685,Phenylketonuria,Disease
R-HSA-216083,R-HSA-1474244,Integrin cell surface interactions,Extracellular matrix organization
R-HSA-2160916,R-HSA-1430728,Hyaluronan uptake and degradation,Metabolism
R-HSA-2161517,R-HSA-1430728,Abacavir transmembrane transport,Metabolism
R-HSA-2161541,R-HSA-1430728,Abacavir metabolism,Metabolism
R-HSA-2162123,R-HSA-1430728,Synthesis of Prostaglandins (PG) and Thromboxanes (TX),Metabolism
R-HSA-2168880,R-HSA-5653656,Scavenging of heme from plasma,Vesicle-mediated transport
R-HSA-2172127,R-HSA-168256,DAP12 interactions,Immune System
R-HSA-217271,R-HSA-1430728,FMO oxidises nucleophiles,Metabolism
R-HSA-2173788,R-HSA-162582,Downregulation of TGF-beta receptor signaling,Signal Transduction
R-HSA-2173789,R-HSA-162582,TGF-beta receptor signaling activates SMADs,Signal Transduction
R-HSA-2173791,R-HSA-162582,TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition),Signal Transduction
R-HSA-2173795,R-HSA-74160,Downregulation of SMAD2/3:SMAD4 transcriptional activity,Gene expression (Transcription)
R-HSA-2173795,R-HSA-162582,Downregulation of SMAD2/3:SMAD4 transcriptional activity,Signal Transduction
R-HSA-2173796,R-HSA-74160,SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription,Gene expression (Transcription)
R-HSA-2173796,R-HSA-162582,SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription,Signal Transduction
R-HSA-2179392,R-HSA-162582,EGFR Transactivation by Gastrin,Signal Transduction
R-HSA-2187335,R-HSA-162582,The retinoid cycle in cones (daylight vision),Signal Transduction
R-HSA-2197563,R-HSA-162582,NOTCH2 intracellular domain regulates transcription,Signal Transduction
R-HSA-2206280,R-HSA-1643685,MPS IX - Natowicz syndrome,Disease
R-HSA-2206282,R-HSA-1643685,MPS IIIB - Sanfilippo syndrome B,Disease
R-HSA-2206285,R-HSA-1643685,MPS VI - Maroteaux-Lamy syndrome,Disease
R-HSA-2206290,R-HSA-1643685,MPS IV - Morquio syndrome A,Disease
R-HSA-2206291,R-HSA-1643685,MPS IIIC - Sanfilippo syndrome C,Disease
R-HSA-2206292,R-HSA-1643685,MPS VII - Sly syndrome,Disease
R-HSA-2206296,R-HSA-1643685,MPS II - Hunter syndrome,Disease
R-HSA-2206302,R-HSA-1643685,MPS I - Hurler syndrome,Disease
R-HSA-2206305,R-HSA-1643685,MPS IIID - Sanfilippo syndrome D,Disease
R-HSA-2206307,R-HSA-1643685,MPS IIIA - Sanfilippo syndrome A,Disease
R-HSA-2206308,R-HSA-1643685,MPS IV - Morquio syndrome B,Disease
R-HSA-2214320,R-HSA-1474244,Anchoring fibril formation,Extracellular matrix organization
R-HSA-2219530,R-HSA-1643685,Constitutive Signaling by Aberrant PI3K in Cancer,Disease
R-HSA-2243919,R-HSA-1474244,Crosslinking of collagen fibrils,Extracellular matrix organization
R-HSA-2299718,R-HSA-1640170,Condensation of Prophase Chromosomes,Cell Cycle
R-HSA-2393930,R-HSA-1430728,Phosphate bond hydrolysis by NUDT proteins,Metabolism
R-HSA-2395516,R-HSA-1430728,Electron transport from NADPH to Ferredoxin,Metabolism
R-HSA-2404192,R-HSA-162582,Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R),Signal Transduction
R-HSA-2408508,R-HSA-1430728,"Metabolism of ingested SeMet, Sec, MeSec into H2Se",Metabolism
R-HSA-2408522,R-HSA-1430728,Selenoamino acid metabolism,Metabolism
R-HSA-2408550,R-HSA-1430728,Metabolism of ingested H2SeO4 and H2SeO3 into H2Se,Metabolism
R-HSA-2408552,R-HSA-1430728,Methylation of MeSeH for excretion,Metabolism
R-HSA-2408557,R-HSA-1430728,Selenocysteine synthesis,Metabolism
R-HSA-2424491,R-HSA-168256,DAP12 signaling,Immune System
R-HSA-2426168,R-HSA-1430728,Activation of gene expression by SREBF (SREBP),Metabolism
R-HSA-2428928,R-HSA-162582,IRS-related events triggered by IGF1R,Signal Transduction
R-HSA-2428933,R-HSA-162582,SHC-related events triggered by IGF1R,Signal Transduction
R-HSA-2453864,R-HSA-1643685,Retinoid cycle disease events,Disease
R-HSA-2453902,R-HSA-162582,The canonical retinoid cycle in rods (twilight vision),Signal Transduction
R-HSA-2454202,R-HSA-168256,Fc epsilon receptor (FCERI) signaling,Immune System
R-HSA-2465910,R-HSA-1640170,MASTL Facilitates Mitotic Progression,Cell Cycle
R-HSA-2466712,R-HSA-162582,"Biosynthesis of A2E, implicated in retinal degradation",Signal Transduction
R-HSA-2466712,R-HSA-1643685,"Biosynthesis of A2E, implicated in retinal degradation",Disease
R-HSA-2467813,R-HSA-1640170,Separation of Sister Chromatids,Cell Cycle
R-HSA-2468052,R-HSA-1640170,Establishment of Sister Chromatid Cohesion,Cell Cycle
R-HSA-2470946,R-HSA-1640170,Cohesin Loading onto Chromatin,Cell Cycle
R-HSA-2473224,R-HSA-162582,Antagonism of Activin by Follistatin,Signal Transduction
R-HSA-2485179,R-HSA-162582,Activation of the phototransduction cascade,Signal Transduction
R-HSA-2500257,R-HSA-1640170,Resolution of Sister Chromatid Cohesion,Cell Cycle
R-HSA-2514853,R-HSA-1640170,Condensation of Prometaphase Chromosomes,Cell Cycle
R-HSA-2514859,R-HSA-162582,"Inactivation, recovery and regulation of the phototransduction cascade",Signal Transduction
R-HSA-2534343,R-HSA-1474165,Interaction With Cumulus Cells And The Zona Pellucida,Reproduction
R-HSA-2559580,R-HSA-8953897,Oxidative Stress Induced Senescence,Cellular responses to external stimuli
R-HSA-2559582,R-HSA-8953897,Senescence-Associated Secretory Phenotype (SASP),Cellular responses to external stimuli
R-HSA-2559584,R-HSA-8953897,Formation of Senescence-Associated Heterochromatin Foci (SAHF),Cellular responses to external stimuli
R-HSA-2559585,R-HSA-8953897,Oncogene Induced Senescence,Cellular responses to external stimuli
R-HSA-2559586,R-HSA-8953897,DNA Damage/Telomere Stress Induced Senescence,Cellular responses to external stimuli
R-HSA-2562578,R-HSA-168256,TRIF-mediated programmed cell death,Immune System
R-HSA-2564830,R-HSA-1430728,Cytosolic iron-sulfur cluster assembly,Metabolism
R-HSA-2565942,R-HSA-1640170,Regulation of PLK1 Activity at G2/M Transition,Cell Cycle
R-HSA-2586552,R-HSA-162582,Signaling by Leptin,Signal Transduction
R-HSA-2644606,R-HSA-1643685,Constitutive Signaling by NOTCH1 PEST Domain Mutants,Disease
R-HSA-2644607,R-HSA-1643685,Loss of Function of FBXW7 in Cancer and NOTCH1 Signaling,Disease
R-HSA-264642,R-HSA-112316,Acetylcholine Neurotransmitter Release Cycle,Neuronal System
R-HSA-264870,R-HSA-5357801,Caspase-mediated cleavage of cytoskeletal proteins,Programmed Cell Death
R-HSA-264876,R-HSA-392499,Insulin processing,Metabolism of proteins
R-HSA-2660826,R-HSA-1643685,Constitutive Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant,Disease
R-HSA-2672351,R-HSA-382551,Stimuli-sensing channels,Transport of small molecules
R-HSA-2682334,R-HSA-1266738,EPH-Ephrin signaling,Developmental Biology
R-HSA-2691232,R-HSA-1643685,Constitutive Signaling by NOTCH1 HD Domain Mutants,Disease
R-HSA-2730905,R-HSA-168256,Role of LAT2/NTAL/LAB on calcium mobilization,Immune System
R-HSA-2855086,R-HSA-168256,Ficolins bind to repetitive carbohydrate structures on the target cell surface,Immune System
R-HSA-2871796,R-HSA-168256,FCERI mediated MAPK activation,Immune System
R-HSA-2871809,R-HSA-168256,FCERI mediated Ca+2 mobilization,Immune System
R-HSA-2871837,R-HSA-168256,FCERI mediated NF-kB activation,Immune System
R-HSA-2892245,R-HSA-1266738,"POU5F1 (OCT4), SOX2, NANOG repress genes related to differentiation",Developmental Biology
R-HSA-2892247,R-HSA-1266738,"POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation",Developmental Biology
R-HSA-2894862,R-HSA-1643685,Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants,Disease
